CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
AAA~~ANAA, FRENCH POLYNESI~NO STA DATA~~~~~
AAB~~ARRABURY, AUSTRALIA~MIDPOINT FIVE~~~~13~P00.0
AAC~HEAR~AL ARISH, EGYPT~EL ARISH EGYPT~EL ARISH~31.04.6N~033.49.9E~151~P02.0
AAD~~AD DABBAH, SUDAN~MIDPOINT TWO~~~~13~P00.0
AAE~DABB~ANNABA, ALGERIA~ANNABA ALGERIA~EL MELLAH~36.49.3N~007.48.6E~16~P01.0
AAG~~AEROSUR, BOLIVIA~NO STA DATA~~~~~
AAH~EDCM~AACHEN MAASTRICHT, GERMANY~AACHEN GERMANY~AACHEN~50.49.5N~006.11.0E~623~P01.0
AAI~~ARRIAS, BRAZIL~NO STA DATA~~~~~
AAJ~~AWARADAM, SURINAME~MIDPOINT EIGHT~~~~1~P00.0
AAK~~ARANUKA, KIRIBATI~MIDPOINT THREE~~~~13~P00.0
AAL~EKYT~AALBORG, DENMARK~AALBORG DENMARK~AALBORG~57.05.6N~009.51.0E~10~P01.0
AAM~~AMBASSADOR MAIL, NY~NO STA DATA~~~~~
AAN~OMAL~AL AIN, UNITED ARAB EMI~UNITED ARABS~AL AIN INTL~24.15.7N~055.36.5E~1~P00.0
AAO~~ANACO, VENEZUELA~NO STA DATA~~~~~
AAP~~AA INVOICE, TX~NO STA DATA~~~~~
AAQ~URKA~ANAPA, RUSSIA~ENDPOINT FOUR~VITYAZEVO~45.00.1N~037.20.9E~13~P00.0
AAR~EKAH~AARHUS, DENMARK~AARHUS DENMARK~TIRSTRUP~56.18.0N~010.37.2E~82~P01.0
AAS~~PRACTICAL RENT CR, WA~NO STA DATA~~~~~
AAT~~ALTAY, CHINA~ENDPOINT TWO~~~~13~P00.0
AAU~~ASAU, WESTERN SAMOA~NO STA DATA~~~~~
AAV~~ALAH, PHILIPPINES~MIDPOINT SIX~~~~13~P00.0
AAW~~ADS TRAINING, TX~NO STA DATA~~~~~
AAX~~ARAXA, BRAZIL~MIDPOINT SEVEN~~~~13~P00.0
AAY~~AL GHAYDAH, YEMEN REPUBLIC~NO STA DATA~~~~~
AAZ~~ATHENS APT, GREECE~MIDPOINT FOUR~~~~13~P00.0
ABA~UNAA~ABAKAN, E URAL RUSSIA~ABAKAN RUSSIA~ABAKAN~53.44.5N~091.23.1E~830~P06.0
ABB~~ABINGDON, UNITED KINGDOM~ABINGDON, UK~~~~260~P00.0
ABC~~MKTNG SYS DEVELOP, TX~NO STA DATA~~~~~
ABD~~ABADAN, IRAN~NO STA DATA~~~~~
ABE~KABE~ALLENTOWN BTHLEM, PA~ALLENTOWN PA~LEHIGH VALLEY INTL~40.39.1N~075.26.4W~394~M05.0
ABF~~ABAIANG, KIRIBATI~NO STA DATA~~~~~
ABG~~ABINGDON AU, AUSTRALIA~NO STA DATA~~~~~
ABH~~ALPHA, AUSTRALIA~NO STA DATA~~~~~
ABI~KABI~ABILENE, TX~ABILENE TX~ABILENE REGL~32.24.6N~099.40.9W~1790~M06.0
ABJ~DIAP~ABIDJAN, IVORY COAST~ABIDJAN IVORY COAST~FELIX HOUPHOUET-BOIGNY~05.15.0N~003.55.7W~20~P00.0
ABK~~KABRI DAR, ETHIOPIA~NO STA DATA~~~~~
ABL~~AMBLER, AK~NO STA DATA~~~~~
ABM~~BAMAGA, AUSTRALIA~NO STA DATA~~~~~
ABN~~ALBINA, SURINAME~NO STA DATA~~~~~
ABP~~ATKAMBA, PAPUA NEW GUINE~NO STA DATA~~~~~
ABQ~KABQ~ALBUQUERQUE, NM~ALBUQUERQUE NM~ALBUQUERQUE INTL SUNPORT~35.02.4N~106.36.5W~5352~M07.0
ABR~KABR~ABERDEEN SD, SD~ABERDEEN SD~ABERDEEN REGL~45.26.9N~098.25.3W~1301~M06.0
ABS~HEBL~ABU SIMBEL, EGYPT~ABU SIMBEL EGYPT~ABU SIMBEL~22.22.3N~031.36.5E~616~P02.0
ABT~OEBA~AL BAHA, SAUDI ARABIA~AL BAHA SAUDI ARABIA~AL BAHA~20.17.7N~041.38.0E~5486~P03.0
ABU~~ATAMBUA HALIWEN, INDONESIA~NO STA DATA~~~~~
